DATE,Total_cases
2020-03-15,9
2020-03-15,10
2020-03-15,9
2020-03-15,9
2020-03-15,8
2020-03-15,9
2020-03-15,8
2020-03-15,8
2020-03-15,10
2020-03-15,11
2020-03-15,8
2020-03-15,8
2020-03-15,8
2020-03-15,2
2020-03-15,2
2020-03-15,2
2020-03-15,2
2020-03-15,3
2020-03-15,11
2020-03-15,8
2020-03-15,9
2020-03-15,12
2020-03-15,13
2020-03-15,8
2020-03-15,9
2020-03-15,8
2020-03-15,8
2020-03-15,8
2020-03-15,9
2020-03-15,8
2020-03-15,8
2020-03-15,27
2020-03-15,27
2020-03-15,29
2020-03-15,30
2020-03-15,27
2020-03-15,28
2020-03-15,28
2020-03-15,33
2020-03-15,30
2020-03-15,30
2020-03-15,27
2020-03-15,10
2020-03-15,11
2020-03-15,11
2020-03-15,14
2020-03-15,15
2020-03-15,13
2020-03-15,12
2020-03-15,13
2020-03-15,14
2020-03-15,11
2020-03-15,10
2020-03-15,11
2020-03-15,9
2020-03-15,6
2020-03-15,5
2020-03-15,5
2020-03-15,5
2020-03-15,5
2020-03-15,6
2020-03-15,5
2020-03-15,5
2020-03-15,4
2020-03-15,1
2020-03-15,6
2020-03-15,6
2020-03-15,7
2020-03-15,6
2020-03-15,7
2020-03-15,6
2020-03-15,6
2020-03-15,6
2020-03-15,9
2020-03-15,6
2020-03-15,7
2020-03-15,3
2020-03-15,3
2020-03-15,3
2020-03-15,5
2020-03-15,5
2020-03-15,5
2020-03-15,3
2020-03-15,3
2020-03-15,5
2020-03-15,3
2020-03-15,5
2020-03-15,4
2020-03-15,6
2020-03-15,8
2020-03-15,7
2020-03-15,8
2020-03-15,8
2020-03-15,9
2020-03-15,7
2020-03-15,8
2020-03-15,7
2020-03-15,7
2020-03-15,7
2020-03-16,14
2020-03-16,11
2020-03-16,14
2020-03-16,12
2020-03-16,11
2020-03-16,15
2020-03-16,14
2020-03-16,15
2020-03-16,11
2020-03-16,13
2020-03-16,12
2020-03-16,15
2020-03-16,14
2020-03-16,15
2020-03-16,4
2020-03-16,4
2020-03-16,4
2020-03-16,7
2020-03-16,5
2020-03-16,5
2020-03-16,4
2020-03-16,4
2020-03-16,6
2020-03-16,4
2020-03-16,12
2020-03-16,12
2020-03-16,14
2020-03-16,14
2020-03-16,22
2020-03-16,14
2020-03-16,15
2020-03-16,16
2020-03-16,15
2020-03-16,15
2020-03-16,17
2020-03-16,15
2020-03-16,17
2020-03-16,13
2020-03-16,13
2020-03-16,14
2020-03-16,31
2020-03-16,32
2020-03-16,30
2020-03-16,33
2020-03-16,31
2020-03-16,34
2020-03-16,33
2020-03-16,29
2020-03-16,31
2020-03-16,31
2020-03-16,33
2020-03-16,31
2020-03-16,30
2020-03-16,29
2020-03-16,8
2020-03-16,9
2020-03-16,8
2020-03-16,10
2020-03-16,12
2020-03-16,10
2020-03-16,11
2020-03-16,11
2020-03-16,10
2020-03-16,10
2020-03-16,10
2020-03-16,8
2020-03-16,8
2020-03-16,6
2020-03-16,3
2020-03-16,7
2020-03-16,4
2020-03-16,8
2020-03-16,6
2020-03-16,7
2020-03-16,6
2020-03-16,5
2020-03-16,4
2020-03-16,6
2020-03-16,5
2020-03-16,3
2020-03-16,4
2020-03-16,4
2020-03-16,2
2020-03-16,1
2020-03-16,1
2020-03-16,1
2020-03-16,7
2020-03-16,8
2020-03-16,8
2020-03-16,5
2020-03-16,11
2020-03-16,5
2020-03-16,8
2020-03-16,8
2020-03-16,5
2020-03-16,5
2020-03-16,6
2020-03-16,8
2020-03-16,14
2020-03-16,15
2020-03-16,14
2020-03-16,15
2020-03-16,17
2020-03-16,14
2020-03-16,16
2020-03-16,20
2020-03-16,16
2020-03-16,17
2020-03-16,18
2020-03-16,14
2020-03-16,18
2020-03-16,14
2020-03-16,15
2020-03-16,14
2020-03-16,10
2020-03-16,13
2020-03-16,13
2020-03-16,16
2020-03-16,14
2020-03-16,12
2020-03-16,12
2020-03-16,13
2020-03-16,11
2020-03-16,12
2020-03-16,12
2020-03-16,10
2020-03-17,24
2020-03-17,21
2020-03-17,24
2020-03-17,21
2020-03-17,27
2020-03-17,24
2020-03-17,24
2020-03-17,26
2020-03-17,21
2020-03-17,25
2020-03-17,21
2020-03-17,22
2020-03-17,25
2020-03-17,26
2020-03-17,23
2020-03-17,4
2020-03-17,5
2020-03-17,4
2020-03-17,6
2020-03-17,6
2020-03-17,4
2020-03-17,4
2020-03-17,4
2020-03-17,4
2020-03-17,6
2020-03-17,4
2020-03-17,17
2020-03-17,17
2020-03-17,17
2020-03-17,17
2020-03-17,18
2020-03-17,18
2020-03-17,19
2020-03-17,20
2020-03-17,22
2020-03-17,18
2020-03-17,19
2020-03-17,17
2020-03-17,28
2020-03-17,29
2020-03-17,32
2020-03-17,29
2020-03-17,30
2020-03-17,31
2020-03-17,30
2020-03-17,29
2020-03-17,29
2020-03-17,34
2020-03-17,32
2020-03-17,31
2020-03-17,36
2020-03-17,29
2020-03-17,28
2020-03-17,23
2020-03-17,23
2020-03-17,27
2020-03-17,29
2020-03-17,24
2020-03-17,24
2020-03-17,28
2020-03-17,24
2020-03-17,29
2020-03-17,31
2020-03-17,28
2020-03-17,25
2020-03-17,23
2020-03-17,30
2020-03-17,23
2020-03-17,25
2020-03-17,23
2020-03-17,23
2020-03-17,7
2020-03-17,6
2020-03-17,8
2020-03-17,11
2020-03-17,8
2020-03-17,8
2020-03-17,6
2020-03-17,10
2020-03-17,7
2020-03-17,6
2020-03-17,11
2020-03-17,8
2020-03-17,10
2020-03-17,6
2020-03-17,6
2020-03-17,6
2020-03-17,6
2020-03-17,4
2020-03-17,3
2020-03-17,1
2020-03-17,1
2020-03-17,1
2020-03-17,1
2020-03-17,2
2020-03-17,3
2020-03-17,11
2020-03-17,12
2020-03-17,14
2020-03-17,13
2020-03-17,14
2020-03-17,12
2020-03-17,12
2020-03-17,14
2020-03-17,12
2020-03-17,11
2020-03-17,12
2020-03-17,11
2020-03-17,12
2020-03-17,14
2020-03-17,13
2020-03-17,12
2020-03-17,10
2020-03-17,10
2020-03-17,10
2020-03-17,14
2020-03-17,12
2020-03-17,15
2020-03-17,12
2020-03-17,13
2020-03-17,11
2020-03-17,13
2020-03-17,11
2020-03-17,12
2020-03-17,13
2020-03-17,11
2020-03-17,12
2020-03-17,12
2020-03-17,16
2020-03-17,17
2020-03-17,17
2020-03-17,19
2020-03-17,15
2020-03-17,18
2020-03-17,13
2020-03-17,14
2020-03-17,15
2020-03-17,12
2020-03-17,14
2020-03-17,12
2020-03-17,14
2020-03-17,12
2020-03-18,36
2020-03-18,37
2020-03-18,37
2020-03-18,40
2020-03-18,37
2020-03-18,40
2020-03-18,38
2020-03-18,43
2020-03-18,39
2020-03-18,36
2020-03-18,39
2020-03-18,38
2020-03-18,40
2020-03-18,38
2020-03-18,38
2020-03-18,39
2020-03-18,8
2020-03-18,8
2020-03-18,8
2020-03-18,7
2020-03-18,7
2020-03-18,7
2020-03-18,6
2020-03-18,8
2020-03-18,8
2020-03-18,7
2020-03-18,6
2020-03-18,19
2020-03-18,20
2020-03-18,19
2020-03-18,24
2020-03-18,22
2020-03-18,24
2020-03-18,24
2020-03-18,23
2020-03-18,19
2020-03-18,20
2020-03-18,24
2020-03-18,21
2020-03-18,27
2020-03-18,20
2020-03-18,21
2020-03-18,19
2020-03-18,26
2020-03-18,27
2020-03-18,29
2020-03-18,28
2020-03-18,34
2020-03-18,29
2020-03-18,28
2020-03-18,30
2020-03-18,28
2020-03-18,37
2020-03-18,34
2020-03-18,31
2020-03-18,32
2020-03-18,29
2020-03-18,28
2020-03-18,27
2020-03-18,23
2020-03-18,24
2020-03-18,25
2020-03-18,24
2020-03-18,26
2020-03-18,27
2020-03-18,29
2020-03-18,29
2020-03-18,29
2020-03-18,27
2020-03-18,27
2020-03-18,26
2020-03-18,26
2020-03-18,24
2020-03-18,14
2020-03-18,14
2020-03-18,15
2020-03-18,18
2020-03-18,14
2020-03-18,17
2020-03-18,15
2020-03-18,17
2020-03-18,19
2020-03-18,17
2020-03-18,19
2020-03-18,15
2020-03-18,15
2020-03-18,16
2020-03-18,14
2020-03-18,16
2020-03-18,4
2020-03-18,4
2020-03-18,4
2020-03-18,4
2020-03-18,5
2020-03-18,4
2020-03-18,4
2020-03-18,5
2020-03-18,5
2020-03-18,5
2020-03-18,4
2020-03-18,5
2020-03-18,7
2020-03-18,5
2020-03-18,6
2020-03-18,10
2020-03-18,6
2020-03-18,5
2020-03-18,5
2020-03-18,5
2020-03-18,6
2020-03-18,5
2020-03-18,28
2020-03-18,27
2020-03-18,27
2020-03-18,29
2020-03-18,30
2020-03-18,26
2020-03-18,25
2020-03-18,30
2020-03-18,25
2020-03-18,28
2020-03-18,30
2020-03-18,26
2020-03-18,30
2020-03-18,26
2020-03-18,25
2020-03-18,25
2020-03-18,6
2020-03-18,10
2020-03-18,8
2020-03-18,7
2020-03-18,17
2020-03-18,13
2020-03-18,14
2020-03-18,10
2020-03-18,6
2020-03-18,8
2020-03-18,8
2020-03-18,9
2020-03-18,8
2020-03-18,6
2020-03-18,6
2020-03-18,26
2020-03-18,29
2020-03-18,26
2020-03-18,27
2020-03-18,31
2020-03-18,30
2020-03-18,30
2020-03-18,28
2020-03-18,32
2020-03-18,35
2020-03-18,31
2020-03-18,28
2020-03-18,27
2020-03-18,28
2020-03-19,43
2020-03-19,45
2020-03-19,47
2020-03-19,47
2020-03-19,52
2020-03-19,48
2020-03-19,53
2020-03-19,49
2020-03-19,48
2020-03-19,47
2020-03-19,52
2020-03-19,46
2020-03-19,48
2020-03-19,44
2020-03-19,43
2020-03-19,4
2020-03-19,5
2020-03-19,3
2020-03-19,4
2020-03-19,5
2020-03-19,7
2020-03-19,3
2020-03-19,5
2020-03-19,4
2020-03-19,4
2020-03-19,3
2020-03-19,3
2020-03-19,36
2020-03-19,35
2020-03-19,37
2020-03-19,36
2020-03-19,40
2020-03-19,37
2020-03-19,36
2020-03-19,37
2020-03-19,35
2020-03-19,35
2020-03-19,37
2020-03-19,41
2020-03-19,37
2020-03-19,36
2020-03-19,34
2020-03-19,34
2020-03-19,34
2020-03-19,33
2020-03-19,36
2020-03-19,33
2020-03-19,37
2020-03-19,36
2020-03-19,39
2020-03-19,40
2020-03-19,39
2020-03-19,40
2020-03-19,39
2020-03-19,35
2020-03-19,41
2020-03-19,35
2020-03-19,35
2020-03-19,19
2020-03-19,21
2020-03-19,19
2020-03-19,24
2020-03-19,21
2020-03-19,22
2020-03-19,24
2020-03-19,26
2020-03-19,25
2020-03-19,27
2020-03-19,35
2020-03-19,24
2020-03-19,30
2020-03-19,22
2020-03-19,23
2020-03-19,20
2020-03-19,21
2020-03-19,23
2020-03-19,25
2020-03-19,22
2020-03-19,32
2020-03-19,27
2020-03-19,28
2020-03-19,25
2020-03-19,31
2020-03-19,26
2020-03-19,24
2020-03-19,27
2020-03-19,24
2020-03-19,27
2020-03-19,26
2020-03-19,25
2020-03-19,23
2020-03-19,11
2020-03-19,15
2020-03-19,15
2020-03-19,13
2020-03-19,11
2020-03-19,17
2020-03-19,15
2020-03-19,13
2020-03-19,14
2020-03-19,12
2020-03-19,13
2020-03-19,14
2020-03-19,11
2020-03-19,11
2020-03-19,11
2020-03-19,2
2020-03-19,4
2020-03-19,4
2020-03-19,2
2020-03-19,2
2020-03-19,5
2020-03-19,3
2020-03-19,3
2020-03-19,2
2020-03-19,3
2020-03-19,2
2020-03-19,23
2020-03-19,25
2020-03-19,24
2020-03-19,26
2020-03-19,23
2020-03-19,28
2020-03-19,31
2020-03-19,25
2020-03-19,29
2020-03-19,24
2020-03-19,24
2020-03-19,25
2020-03-19,27
2020-03-19,26
2020-03-19,28
2020-03-19,23
2020-03-19,11
2020-03-19,11
2020-03-19,16
2020-03-19,15
2020-03-19,12
2020-03-19,12
2020-03-19,21
2020-03-19,18
2020-03-19,16
2020-03-19,16
2020-03-19,14
2020-03-19,13
2020-03-19,17
2020-03-19,11
2020-03-19,13
2020-03-19,12
2020-03-19,12
2020-03-19,23
2020-03-19,26
2020-03-19,23
2020-03-19,26
2020-03-19,24
2020-03-19,29
2020-03-19,27
2020-03-19,32
2020-03-19,30
2020-03-19,26
2020-03-19,27
2020-03-19,27
2020-03-19,29
2020-03-19,25
2020-03-19,26
2020-03-19,23
2020-03-19,23
2020-03-20,47
2020-03-20,47
2020-03-20,47
2020-03-20,52
2020-03-20,47
2020-03-20,50
2020-03-20,47
2020-03-20,50
2020-03-20,47
2020-03-20,52
2020-03-20,51
2020-03-20,47
2020-03-20,59
2020-03-20,48
2020-03-20,55
2020-03-20,51
2020-03-20,50
2020-03-20,47
2020-03-20,47
2020-03-20,5
2020-03-20,8
2020-03-20,5
2020-03-20,6
2020-03-20,7
2020-03-20,5
2020-03-20,6
2020-03-20,5
2020-03-20,6
2020-03-20,5
2020-03-20,5
2020-03-20,30
2020-03-20,33
2020-03-20,34
2020-03-20,36
2020-03-20,33
2020-03-20,38
2020-03-20,32
2020-03-20,33
2020-03-20,34
2020-03-20,35
2020-03-20,35
2020-03-20,34
2020-03-20,31
2020-03-20,35
2020-03-20,31
2020-03-20,43
2020-03-20,44
2020-03-20,51
2020-03-20,47
2020-03-20,54
2020-03-20,48
2020-03-20,45
2020-03-20,51
2020-03-20,48
2020-03-20,44
2020-03-20,46
2020-03-20,50
2020-03-20,46
2020-03-20,47
2020-03-20,44
2020-03-20,33
2020-03-20,32
2020-03-20,35
2020-03-20,39
2020-03-20,37
2020-03-20,33
2020-03-20,41
2020-03-20,35
2020-03-20,44
2020-03-20,38
2020-03-20,34
2020-03-20,45
2020-03-20,35
2020-03-20,41
2020-03-20,39
2020-03-20,44
2020-03-20,33
2020-03-20,31
2020-03-20,32
2020-03-20,32
2020-03-20,36
2020-03-20,33
2020-03-20,33
2020-03-20,32
2020-03-20,39
2020-03-20,39
2020-03-20,34
2020-03-20,36
2020-03-20,38
2020-03-20,40
2020-03-20,32
2020-03-20,35
2020-03-20,31
2020-03-20,10
2020-03-20,10
2020-03-20,10
2020-03-20,12
2020-03-20,12
2020-03-20,12
2020-03-20,14
2020-03-20,13
2020-03-20,13
2020-03-20,12
2020-03-20,14
2020-03-20,12
2020-03-20,51
2020-03-20,51
2020-03-20,52
2020-03-20,54
2020-03-20,60
2020-03-20,57
2020-03-20,56
2020-03-20,59
2020-03-20,56
2020-03-20,58
2020-03-20,52
2020-03-20,55
2020-03-20,55
2020-03-20,53
2020-03-20,52
2020-03-20,53
2020-03-20,19
2020-03-20,19
2020-03-20,23
2020-03-20,26
2020-03-20,23
2020-03-20,27
2020-03-20,25
2020-03-20,23
2020-03-20,23
2020-03-20,22
2020-03-20,20
2020-03-20,21
2020-03-20,22
2020-03-20,20
2020-03-20,26
2020-03-20,27
2020-03-20,26
2020-03-20,29
2020-03-20,26
2020-03-20,33
2020-03-20,30
2020-03-20,33
2020-03-20,30
2020-03-20,28
2020-03-20,31
2020-03-20,33
2020-03-20,28
2020-03-20,31
2020-03-20,27
2020-03-20,26
2020-03-21,50
2020-03-21,49
2020-03-21,51
2020-03-21,51
2020-03-21,55
2020-03-21,53
2020-03-21,56
2020-03-21,51
2020-03-21,50
2020-03-21,58
2020-03-21,54
2020-03-21,50
2020-03-21,55
2020-03-21,51
2020-03-21,49
2020-03-21,7
2020-03-21,9
2020-03-21,7
2020-03-21,7
2020-03-21,8
2020-03-21,8
2020-03-21,8
2020-03-21,7
2020-03-21,7
2020-03-21,42
2020-03-21,43
2020-03-21,41
2020-03-21,41
2020-03-21,42
2020-03-21,44
2020-03-21,44
2020-03-21,41
2020-03-21,46
2020-03-21,44
2020-03-21,45
2020-03-21,42
2020-03-21,45
2020-03-21,41
2020-03-21,41
2020-03-21,41
2020-03-21,33
2020-03-21,34
2020-03-21,35
2020-03-21,36
2020-03-21,35
